s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL,ZONE_1
 9.800E+02, 2.235E+02,-1.263E+02,-1.966E+01,-5.834E+01, 1.831E-01, 2.033E+00, 0.000E+00, 6.984E+00, 2.138E+01, 3.999E-03, 3.999E-03,-9.286E+01
 9.900E+02, 1.907E+02,-1.223E+02, 3.519E+00,-5.820E+01, 1.802E-01, 1.488E-01, 0.000E+00, 2.179E-01, 1.412E+01, 3.999E-03, 3.999E-03,-8.708E+01
 1.000E+03, 2.053E+02,-1.275E+02,-4.909E+00,-5.984E+01, 2.728E-01,-2.393E-01, 0.000E+00,-7.395E-01, 1.306E+01, 3.999E-03, 3.999E-03,-1.067E+02
 1.010E+03, 2.245E+02,-1.304E+02,-1.918E+01,-6.106E+01, 3.324E-01, 7.294E-01, 0.000E+00, 2.537E+00, 1.499E+01, 3.999E-03, 3.999E-03,-3.934E+01
 1.020E+03, 1.946E+02,-1.252E+02, 6.608E+00,-5.724E+01, 1.800E-01, 1.668E+00, 0.000E+00, 5.861E+00, 2.061E+01, 3.999E-03, 3.999E-03, 1.164E+02
 1.030E+03, 2.076E+02,-1.301E+02,-7.780E+00,-6.085E+01, 4.016E-01,-2.063E+00, 0.000E+00,-7.466E+00, 7.241E+00, 3.999E-03, 3.999E-03,-8.202E+01
 1.040E+03, 1.985E+02,-1.281E+02, 6.282E+00,-6.049E+01, 3.560E-01, 1.464E-01, 0.000E+00, 3.915E-01, 1.666E+01, 3.999E-03, 3.999E-03,-7.164E+01
 1.050E+03, 2.019E+02,-1.272E+02,-9.412E-01,-5.934E+01, 4.022E-01,-3.795E-02, 0.000E+00,-1.593E-01, 1.480E+01, 3.999E-03, 3.999E-03,-7.588E+01
 1.060E+03, 1.812E+02,-1.234E+02, 1.194E+01,-5.860E+01, 2.645E-01,-4.104E-01, 0.000E+00,-1.622E+00, 1.104E+01, 3.999E-03, 3.999E-03,-1.190E+02
 1.070E+03, 2.183E+02,-1.287E+02,-1.328E+01,-5.875E+01, 3.116E-01, 9.757E-01, 0.000E+00, 3.357E+00, 1.877E+01, 3.999E-03, 3.999E-03,-2.973E+01
 1.080E+03, 2.049E+02,-1.282E+02,-5.120E+00,-5.870E+01, 3.761E-01,-7.513E-01, 0.000E+00,-2.649E+00, 1.250E+01, 3.999E-03, 3.999E-03,-1.000E+02
 1.090E+03, 1.934E+02,-1.244E+02, 8.467E-01,-5.654E+01, 2.790E-01, 2.623E-01, 0.000E+00, 8.271E-01, 1.393E+01, 3.999E-03, 3.999E-03,-7.808E+01
 1.100E+03, 2.054E+02,-1.262E+02,-5.899E+00,-5.610E+01, 2.894E-01, 1.437E+00, 0.000E+00, 5.062E+00, 1.887E+01, 3.999E-03, 3.999E-03, 5.665E+01
 1.110E+03, 1.900E+02,-1.260E+02, 4.856E+00,-5.807E+01, 3.717E-01,-8.888E-01, 0.000E+00,-3.248E+00, 1.029E+01, 3.999E-03, 3.999E-03,-2.968E+01
 1.120E+03, 2.209E+02,-1.307E+02,-1.976E+01,-5.794E+01, 4.320E-01,-7.150E-01, 0.000E+00,-2.536E+00, 1.215E+01, 3.999E-03, 3.999E-03,-9.695E+01
 1.130E+03, 1.919E+02,-1.275E+02, 8.140E+00,-5.781E+01, 3.874E-01,-1.377E-01, 0.000E+00,-6.749E-01, 1.496E+01, 3.999E-03, 3.999E-03,-1.149E+02
 1.140E+03, 1.979E+02,-1.276E+02, 3.147E+00,-5.761E+01, 3.424E-01, 4.075E-01, 0.000E+00, 1.345E+00, 1.660E+01, 3.999E-03, 3.999E-03,-7.909E+01
 1.150E+03, 2.057E+02,-1.290E+02,-5.162E+00,-5.730E+01, 4.020E-01,-2.166E-01, 0.000E+00,-6.593E-01, 1.447E+01, 3.999E-03, 3.999E-03,-9.660E+01
 1.160E+03, 1.961E+02,-1.291E+02, 4.015E+00,-5.813E+01, 4.493E-01,-7.424E-01, 0.000E+00,-2.659E+00, 1.257E+01, 3.999E-03, 3.999E-03,-1.671E+02
 1.170E+03, 2.015E+02,-1.238E+02,-3.466E+00,-5.535E+01, 3.686E-01, 1.152E+00, 0.000E+00, 3.926E+00, 2.032E+01, 3.999E-03, 3.999E-03,-6.278E+01
 1.180E+03, 2.054E+02,-1.294E+02,-2.044E+00,-5.822E+01, 4.675E-01, 1.109E-01, 0.000E+00, 3.116E-01, 1.633E+01, 3.999E-03, 3.999E-03,-5.448E+01
 1.190E+03, 1.866E+02,-1.264E+02, 9.180E+00,-5.687E+01, 4.285E-01,-1.293E+00, 0.000E+00,-4.562E+00, 1.163E+01, 3.999E-03, 3.999E-03,-1.756E+02
