s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_N-HEPTANE,MLR_PRODUCTS,MLR_WATER VAPOR,ZONE_1
 4.25E+02, 0.00E+00, 9.02E+00, 1.89E+00, 5.11E+00, 0.00E+00, 7.65E-02,-1.77E+01,-1.57E+00,-1.57E+00, 0.00E+00, 2.01E-02, 0.00E+00, 1.05E-06, 2.63E+04
 4.30E+02, 0.00E+00, 9.03E+00, 1.87E+00, 5.28E+00, 0.00E+00, 5.21E-02,-1.79E+01,-1.70E+00,-1.70E+00, 0.00E+00, 2.05E-02, 0.00E+00, 2.36E-07, 2.63E+04
 4.35E+02, 0.00E+00, 8.98E+00, 1.88E+00, 5.49E+00, 0.00E+00, 4.41E-02,-1.82E+01,-1.80E+00,-1.80E+00, 0.00E+00, 2.12E-02, 0.00E+00, 6.27E-07, 2.63E+04
 4.40E+02, 0.00E+00, 8.96E+00, 1.87E+00, 5.32E+00, 0.00E+00, 1.07E-01,-1.78E+01,-1.54E+00,-1.54E+00, 0.00E+00, 2.08E-02, 0.00E+00, 3.60E-07, 2.63E+04
 4.45E+02, 0.00E+00, 8.94E+00, 1.86E+00, 5.27E+00, 0.00E+00, 9.15E-02,-1.77E+01,-1.58E+00,-1.58E+00, 0.00E+00, 2.06E-02, 0.00E+00, 1.15E-07, 2.63E+04
 4.50E+02, 0.00E+00, 8.96E+00, 1.86E+00, 4.87E+00, 0.00E+00,-5.22E-02,-1.78E+01,-2.19E+00,-2.19E+00, 0.00E+00, 2.11E-02, 0.00E+00, 7.30E-08, 2.63E+04
 4.55E+02, 0.00E+00, 8.91E+00, 1.86E+00, 4.60E+00, 0.00E+00, 3.27E-02,-1.72E+01,-1.79E+00,-1.78E+00, 0.00E+00, 2.04E-02, 0.00E+00, 8.90E-08, 2.63E+04
 4.60E+02, 0.00E+00, 8.89E+00, 1.89E+00, 5.12E+00, 0.00E+00, 1.90E-01,-1.73E+01,-1.20E+00,-1.19E+00, 0.00E+00, 2.07E-02, 0.00E+00, 1.72E-07, 2.63E+04
 4.65E+02, 0.00E+00, 8.81E+00, 1.87E+00, 5.00E+00, 0.00E+00, 7.47E-02,-1.75E+01,-1.77E+00,-1.77E+00, 0.00E+00, 2.16E-02, 0.00E+00, 2.20E-07, 2.63E+04
 4.70E+02, 0.00E+00, 8.81E+00, 1.86E+00, 4.69E+00, 0.00E+00,-5.97E-04,-1.74E+01,-2.02E+00,-2.01E+00, 0.00E+00, 2.13E-02, 0.00E+00, 9.66E-08, 2.63E+04
 4.75E+02, 0.00E+00, 8.79E+00, 1.86E+00, 4.83E+00, 0.00E+00, 4.38E-02,-1.74E+01,-1.89E+00,-1.89E+00, 0.00E+00, 2.17E-02, 0.00E+00, 4.91E-08, 2.63E+04
