s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_WATER VAPOR,MLR_TOTAL
 1.0560000E+002, 0.0000000E+000, 1.8569935E-004,-4.8935196E-003, 2.0518456E-003, 2.6790185E-003, 0.0000000E+000, 0.0000000E+000, 8.4565452E-005, 2.3043798E-005, 0.0000000E+000, 7.4819826E-005
 1.0680000E+002, 0.0000000E+000, 1.9121350E-004,-4.8930209E-003, 2.0151838E-003, 2.7054195E-003, 0.0000000E+000, 0.0000000E+000, 8.0562316E-005, 1.8795845E-005, 0.0000000E+000, 7.4842322E-005
 1.0800000E+002, 0.0000000E+000, 1.9208962E-004,-4.6452509E-003, 2.0390025E-003, 2.7747804E-003, 0.0000000E+000, 0.0000000E+000, 4.1555553E-004, 3.6062160E-004, 0.0000000E+000, 7.6765288E-005
 1.0920000E+002, 0.0000000E+000, 1.9072942E-004,-5.5864502E-003, 2.0299402E-003, 2.7709114E-003, 0.0000000E+000, 0.0000000E+000,-5.2084148E-004,-5.9486921E-004, 0.0000000E+000, 7.7107022E-005
 1.1040000E+002, 0.0000000E+000, 1.9903605E-004,-4.6163993E-003, 1.9781585E-003, 2.8016737E-003, 0.0000000E+000, 0.0000000E+000, 4.1850433E-004, 3.6246899E-004, 0.0000000E+000, 7.7166760E-005
 1.1160000E+002, 0.0000000E+000, 2.0022788E-004,-5.0739235E-003, 1.9509616E-003, 2.8637420E-003, 0.0000000E+000, 0.0000000E+000, 1.3317662E-005,-5.8991978E-005, 0.0000000E+000, 7.7669206E-005
 1.1280000E+002, 0.0000000E+000, 2.0519019E-004,-4.3174173E-003, 1.9143018E-003, 3.1021951E-003, 0.0000000E+000, 0.0000000E+000, 9.7360836E-004, 9.0426985E-004, 0.0000000E+000, 8.0742255E-005
 1.1400000E+002, 0.0000000E+000, 2.0474592E-004,-4.3377553E-003, 1.9076910E-003, 3.1756820E-003, 0.0000000E+000, 0.0000000E+000, 1.0346227E-003, 9.5036370E-004, 0.0000000E+000, 8.2830204E-005
 1.1520000E+002, 0.0000000E+000, 1.9999381E-004,-4.4848932E-003, 1.8991464E-003, 2.9997460E-003, 0.0000000E+000, 0.0000000E+000, 6.9973514E-004, 6.1399309E-004, 0.0000000E+000, 8.3092901E-005
 1.1640000E+002, 0.0000000E+000, 2.0068624E-004,-6.0438859E-003, 1.8114521E-003, 2.9185448E-003, 0.0000000E+000, 0.0000000E+000,-9.8841446E-004,-1.1132027E-003, 0.0000000E+000, 8.1598956E-005
 1.1760000E+002, 0.0000000E+000, 2.0738141E-004,-6.1640639E-003, 1.8272103E-003, 2.9010158E-003, 0.0000000E+000, 0.0000000E+000,-1.1402450E-003,-1.2284564E-003, 0.0000000E+000, 8.2824129E-005
 1.1880000E+002, 0.0000000E+000, 2.0692920E-004,-4.7663180E-003, 1.8690390E-003, 2.9617123E-003, 0.0000000E+000, 0.0000000E+000, 3.4504754E-004, 2.7136259E-004, 0.0000000E+000, 8.4339655E-005
 1.2000000E+002, 0.0000000E+000, 2.1098705E-004,-5.2053276E-003, 1.8698973E-003, 3.0715129E-003, 0.0000000E+000, 0.0000000E+000, 9.5881566E-006,-5.2930335E-005, 0.0000000E+000, 8.4551249E-005
