s,kW/m2,kW/m2,kW/m2
Time,"HRRPUA-25","HRRPUA-50","HRRPUA-75"
 3.310E+02, 1.690E+01, 0.000E+00, 0.000E+00
 3.320E+02, 1.678E+01, 0.000E+00, 0.000E+00
 3.330E+02, 1.667E+01, 0.000E+00, 0.000E+00
 3.340E+02, 1.655E+01, 0.000E+00, 0.000E+00
 3.350E+02, 1.643E+01, 0.000E+00, 0.000E+00
 3.360E+02, 1.632E+01, 0.000E+00, 0.000E+00
 3.370E+02, 1.620E+01, 0.000E+00, 0.000E+00
 3.380E+02, 1.609E+01, 0.000E+00, 0.000E+00
 3.390E+02, 1.597E+01, 0.000E+00, 0.000E+00
 3.400E+02, 1.585E+01, 0.000E+00, 0.000E+00
 3.410E+02, 1.573E+01, 0.000E+00, 0.000E+00
 3.420E+02, 1.561E+01, 0.000E+00, 0.000E+00
 3.430E+02, 1.549E+01, 0.000E+00, 0.000E+00
 3.440E+02, 1.537E+01, 0.000E+00, 0.000E+00
 3.450E+02, 1.524E+01, 0.000E+00, 0.000E+00
 3.460E+02, 1.512E+01, 0.000E+00, 0.000E+00
 3.470E+02, 1.500E+01, 0.000E+00, 0.000E+00
 3.480E+02, 1.487E+01, 0.000E+00, 0.000E+00
 3.490E+02, 1.474E+01, 0.000E+00, 0.000E+00
 3.500E+02, 1.462E+01, 0.000E+00, 0.000E+00
 3.510E+02, 1.450E+01, 0.000E+00, 0.000E+00
 3.520E+02, 1.437E+01, 0.000E+00, 0.000E+00
 3.530E+02, 1.425E+01, 0.000E+00, 0.000E+00
 3.540E+02, 1.413E+01, 0.000E+00, 0.000E+00
 3.550E+02, 1.401E+01, 0.000E+00, 0.000E+00
 3.560E+02, 1.388E+01, 0.000E+00, 0.000E+00
 3.570E+02, 1.376E+01, 0.000E+00, 0.000E+00
 3.580E+02, 1.363E+01, 0.000E+00, 0.000E+00
 3.590E+02, 1.350E+01, 0.000E+00, 0.000E+00
 3.600E+02, 1.336E+01, 0.000E+00, 0.000E+00
 3.610E+02, 1.320E+01, 0.000E+00, 0.000E+00
 3.620E+02, 1.303E+01, 0.000E+00, 0.000E+00
 3.630E+02, 1.286E+01, 0.000E+00, 0.000E+00
 3.640E+02, 1.266E+01, 0.000E+00, 0.000E+00
