s,C,kW/m2,C,kW/m2,C,kW/m2
Time,WALL TEMPERATURE-CONE_6p00_035,HRRPUA-CONE_6p00_035,WALL TEMPERATURE-CONE_6p00_050,HRRPUA-CONE_6p00_050,WALL TEMPERATURE-CONE_6p00_075,HRRPUA-CONE_6p00_075
 1.720E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.730E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.740E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.750E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.760E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.770E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.780E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.790E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.800E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.810E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.820E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.830E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.840E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.850E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.860E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.870E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.880E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.890E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.900E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.910E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.920E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.930E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.940E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.950E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.960E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.970E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.980E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 1.990E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.000E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.010E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.020E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.030E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.040E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.050E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.060E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.070E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.080E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.090E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.100E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.110E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
 2.120E+03, 5.634E+02, 0.000E+00, 6.516E+02, 0.000E+00, 7.610E+02, 0.000E+00
