s,%,%,%,%,%,%,%,m/s,m/s
Time,"Sensor #1","Sensor #2","Sensor #3","Sensor #4","Sensor #5","Sensor #6","Sensor #7","TOPD_V","BOTTOMD_V"
 6.180E+03, 3.176E+01, 3.238E+01, 3.356E+01, 3.472E+01, 3.621E+01, 3.729E+01, 3.792E+01, 1.881E-01,-1.881E-01
 6.240E+03, 3.166E+01, 3.228E+01, 3.346E+01, 3.461E+01, 3.610E+01, 3.717E+01, 3.780E+01, 1.879E-01,-1.879E-01
 6.300E+03, 3.157E+01, 3.218E+01, 3.336E+01, 3.450E+01, 3.598E+01, 3.705E+01, 3.767E+01, 1.874E-01,-1.874E-01
 6.360E+03, 3.147E+01, 3.209E+01, 3.326E+01, 3.440E+01, 3.587E+01, 3.693E+01, 3.755E+01, 1.871E-01,-1.871E-01
 6.420E+03, 3.138E+01, 3.199E+01, 3.316E+01, 3.429E+01, 3.576E+01, 3.681E+01, 3.743E+01, 1.868E-01,-1.868E-01
 6.480E+03, 3.128E+01, 3.190E+01, 3.306E+01, 3.419E+01, 3.565E+01, 3.670E+01, 3.731E+01, 1.867E-01,-1.867E-01
 6.540E+03, 3.119E+01, 3.180E+01, 3.296E+01, 3.408E+01, 3.553E+01, 3.658E+01, 3.719E+01, 1.863E-01,-1.863E-01
 6.600E+03, 3.110E+01, 3.170E+01, 3.286E+01, 3.398E+01, 3.542E+01, 3.646E+01, 3.707E+01, 1.859E-01,-1.859E-01
 6.660E+03, 3.100E+01, 3.161E+01, 3.276E+01, 3.387E+01, 3.531E+01, 3.635E+01, 3.695E+01, 1.856E-01,-1.856E-01
 6.720E+03, 3.091E+01, 3.151E+01, 3.266E+01, 3.377E+01, 3.520E+01, 3.623E+01, 3.683E+01, 1.853E-01,-1.853E-01
 6.780E+03, 3.082E+01, 3.142E+01, 3.256E+01, 3.366E+01, 3.509E+01, 3.612E+01, 3.672E+01, 1.850E-01,-1.850E-01
 6.840E+03, 3.073E+01, 3.133E+01, 3.246E+01, 3.356E+01, 3.498E+01, 3.601E+01, 3.660E+01, 1.846E-01,-1.846E-01
 6.900E+03, 3.064E+01, 3.123E+01, 3.236E+01, 3.346E+01, 3.487E+01, 3.589E+01, 3.648E+01, 1.842E-01,-1.842E-01
 6.960E+03, 3.054E+01, 3.114E+01, 3.226E+01, 3.336E+01, 3.477E+01, 3.578E+01, 3.637E+01, 1.838E-01,-1.838E-01
 7.020E+03, 3.045E+01, 3.105E+01, 3.217E+01, 3.326E+01, 3.466E+01, 3.567E+01, 3.626E+01, 1.835E-01,-1.835E-01
 7.080E+03, 3.036E+01, 3.096E+01, 3.207E+01, 3.316E+01, 3.455E+01, 3.556E+01, 3.614E+01, 1.834E-01,-1.834E-01
 7.140E+03, 3.027E+01, 3.086E+01, 3.198E+01, 3.306E+01, 3.445E+01, 3.545E+01, 3.603E+01, 1.830E-01,-1.830E-01
 7.200E+03, 3.018E+01, 3.077E+01, 3.188E+01, 3.296E+01, 3.434E+01, 3.534E+01, 3.592E+01, 1.828E-01,-1.828E-01
 7.200E+03, 3.014E+01, 3.073E+01, 3.183E+01, 3.291E+01, 3.429E+01, 3.528E+01, 3.586E+01, 1.819E-01,-1.819E-01
