s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_TOLUENE,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 8.300E+02, 1.945E+03, 0.000E+00,-5.165E+02,-1.416E+03, 2.108E+01, 0.000E+00, 0.000E+00,-2.898E+01, 5.682E+00, 5.530E+00, 0.000E+00, 5.726E-02, 0.000E+00, 0.000E+00
 8.400E+02, 2.036E+03, 0.000E+00,-5.516E+02,-1.468E+03, 2.119E+01, 0.000E+00, 0.000E+00,-2.892E+01, 7.752E+00, 8.254E+00, 0.000E+00, 5.714E-02, 0.000E+00, 0.000E+00
 8.500E+02, 1.994E+03, 0.000E+00,-5.416E+02,-1.434E+03, 2.089E+01, 0.000E+00, 0.000E+00,-2.939E+01, 9.323E+00, 9.405E+00, 0.000E+00, 5.802E-02, 0.000E+00, 0.000E+00
 8.600E+02, 2.027E+03, 0.000E+00,-5.412E+02,-1.467E+03, 2.126E+01, 0.000E+00, 0.000E+00,-2.874E+01, 1.071E+01, 1.136E+01, 0.000E+00, 5.692E-02, 0.000E+00, 0.000E+00
 8.700E+02, 2.146E+03, 0.000E+00,-5.796E+02,-1.571E+03, 2.093E+01, 0.000E+00, 0.000E+00,-2.923E+01,-1.321E+01,-1.363E+01, 0.000E+00, 5.770E-02, 0.000E+00, 0.000E+00
 8.800E+02, 2.047E+03, 0.000E+00,-5.632E+02,-1.474E+03, 2.170E+01, 0.000E+00, 0.000E+00,-2.907E+01, 1.353E+00, 2.071E+00, 0.000E+00, 5.739E-02, 0.000E+00, 0.000E+00
 8.900E+02, 2.120E+03, 0.000E+00,-5.810E+02,-1.528E+03, 2.133E+01, 0.000E+00, 0.000E+00,-2.875E+01, 3.784E+00, 3.813E+00, 0.000E+00, 5.682E-02, 0.000E+00, 0.000E+00
 9.000E+02, 2.132E+03, 0.000E+00,-5.921E+02,-1.522E+03, 2.187E+01, 0.000E+00, 0.000E+00,-2.894E+01, 1.117E+01, 1.102E+01, 0.000E+00, 5.713E-02, 0.000E+00, 0.000E+00
 9.100E+02, 2.065E+03, 0.000E+00,-5.564E+02,-1.512E+03, 2.075E+01, 0.000E+00, 0.000E+00,-2.887E+01,-1.160E+01,-1.139E+01, 0.000E+00, 5.690E-02, 0.000E+00, 0.000E+00
 9.200E+02, 2.198E+03, 0.000E+00,-5.957E+02,-1.578E+03, 2.111E+01, 0.000E+00, 0.000E+00,-2.918E+01, 1.583E+01, 1.633E+01, 0.000E+00, 5.761E-02, 0.000E+00, 0.000E+00
 9.300E+02, 1.965E+03, 0.000E+00,-5.324E+02,-1.431E+03, 2.192E+01, 0.000E+00, 0.000E+00,-2.919E+01,-5.667E+00,-5.605E+00, 0.000E+00, 5.759E-02, 0.000E+00, 0.000E+00
