s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_ISOPROPANOL,MLR_INTERMEDIATE PRODUCTS,MLR_PRODUCTS
 7.900E+02, 0.000E+00, 7.898E+01,-1.675E+02, 5.684E+01, 1.799E-17, 0.000E+00, 0.000E+00,-3.144E+01,-3.172E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.000E+02, 0.000E+00, 7.474E+01,-1.565E+02, 5.682E+01, 1.904E-17, 0.000E+00, 0.000E+00,-2.465E+01,-2.491E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.100E+02, 0.000E+00, 7.104E+01,-1.517E+02, 5.617E+01, 1.398E-17, 0.000E+00, 0.000E+00,-2.424E+01,-2.451E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.200E+02, 0.000E+00, 6.736E+01,-1.454E+02, 5.508E+01, 1.359E-17, 0.000E+00, 0.000E+00,-2.275E+01,-2.296E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.300E+02, 0.000E+00, 6.359E+01,-1.345E+02, 5.451E+01, 1.951E-17, 0.000E+00, 0.000E+00,-1.621E+01,-1.640E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.400E+02, 0.000E+00, 6.022E+01,-1.317E+02, 5.333E+01, 1.351E-17, 0.000E+00, 0.000E+00,-1.801E+01,-1.817E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.500E+02, 0.000E+00, 5.711E+01,-1.249E+02, 5.250E+01, 1.699E-17, 0.000E+00, 0.000E+00,-1.511E+01,-1.532E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.600E+02, 0.000E+00, 5.423E+01,-1.220E+02, 5.175E+01, 1.420E-17, 0.000E+00, 0.000E+00,-1.584E+01,-1.598E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.700E+02, 0.000E+00, 5.153E+01,-1.177E+02, 5.080E+01, 1.651E-17, 0.000E+00, 0.000E+00,-1.528E+01,-1.533E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.800E+02, 0.000E+00, 4.915E+01,-1.105E+02, 4.963E+01, 1.403E-17, 0.000E+00, 0.000E+00,-1.158E+01,-1.176E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 8.900E+02, 0.000E+00, 4.688E+01,-1.102E+02, 4.875E+01, 1.854E-17, 0.000E+00, 0.000E+00,-1.446E+01,-1.462E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
 9.000E+02, 0.000E+00, 4.475E+01,-1.050E+02, 4.788E+01, 1.669E-17, 0.000E+00, 0.000E+00,-1.238E+01,-1.243E+01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00
