s,m/s,
Time,Ub,FORCE X
 4.2700179E+000, 6.0952246E+000,-8.2939972E-003
 4.2801023E+000, 6.2285788E+000, 9.3255077E-003
 4.2901091E+000, 6.3552001E+000, 2.6287926E-002
 4.3000488E+000, 6.5053306E+000, 3.1954891E-002
 4.3100275E+000, 6.6025286E+000, 5.0680646E-002
 4.3200411E+000, 6.6877486E+000, 4.2691314E-002
 4.3300317E+000, 6.5622628E+000, 3.0743127E-002
 4.3400195E+000, 6.4158636E+000, 1.1591442E-002
 4.3500208E+000, 6.3169730E+000, 1.3297401E-002
 4.3600612E+000, 6.3333181E+000, 8.7714395E-003
 4.3700774E+000, 6.1746084E+000,-1.0283976E-002
 4.3800108E+000, 6.0859863E+000,-1.2454210E-002
 4.3900126E+000, 6.0165441E+000,-2.5315415E-002
 4.4000896E+000, 5.9120915E+000,-3.0878608E-002
 4.4101071E+000, 5.9047363E+000,-2.6447230E-002
 4.4201131E+000, 5.9940033E+000,-1.3369695E-002
 4.4300566E+000, 6.1146348E+000,-4.7830512E-003
 4.4400211E+000, 6.1934343E+000, 5.8310163E-003
 4.4500584E+000, 6.3240429E+000, 1.9066216E-002
 4.4600550E+000, 6.4534561E+000, 2.9195889E-002
 4.4700487E+000, 6.4331214E+000, 1.2422063E-002
 4.4800999E+000, 6.2271677E+000,-1.4090793E-003
 4.4901050E+000, 6.1733809E+000,-3.8044840E-004
 4.5001201E+000, 6.2382752E+000, 4.3869549E-003
 4.5100127E+000, 6.2326709E+000, 5.6066788E-003
 4.5200128E+000, 6.2956540E+000, 1.0576036E-002
 4.5300139E+000, 6.2517304E+000, 2.6169828E-003
 4.5400404E+000, 6.2142389E+000, 3.0706766E-003
 4.5500467E+000, 6.2628080E+000, 8.5735426E-003
 4.5601133E+000, 6.2260102E+000,-5.6963007E-003
 4.5700106E+000, 6.0788600E+000,-1.4355045E-002
 4.5800424E+000, 6.0991112E+000,-9.0872862E-003
 4.5901218E+000, 6.0881728E+000,-1.3561842E-002
 4.6000353E+000, 6.0638155E+000,-1.2716618E-002
 4.6100305E+000, 6.0757427E+000,-1.0506618E-002
