s,kW/m2,s,kW/m2,kW/m2,s,kW/m2,kW/m2,s,kW/m2,m,s,m,m
Time,"rad40","rad40_tmax","rad40_max","rad70","rad70_tmax","rad70_max","rad100","rad100_tmax","rad100_max","D_avg","D_tmax","D_max","Height"
 7.9117467E+000, 1.6536764E+000, 7.2101148E-001, 2.2279039E+002, 2.5159606E+000, 8.8703159E-001, 6.6803781E+001, 2.4889647E+000, 8.8703159E-001, 3.2190660E+001, 3.0167849E+001, 4.3315381E+000, 4.7950679E+001, 1.2755441E+002
 8.0099309E+000, 1.5403115E+000, 7.2101148E-001, 2.2279039E+002, 2.3347793E+000, 8.8703159E-001, 6.6803781E+001, 2.3175921E+000, 8.8703159E-001, 3.2190660E+001, 3.1052711E+001, 4.3315381E+000, 4.7950679E+001, 1.2888886E+002
 8.1071333E+000, 1.4506309E+000, 7.2101148E-001, 2.2279039E+002, 2.2361530E+000, 8.8703159E-001, 6.6803781E+001, 2.2352211E+000, 8.8703159E-001, 3.2190660E+001, 3.1660939E+001, 4.3315381E+000, 4.7950679E+001, 1.3017868E+002
 8.2023388E+000, 1.4049244E+000, 7.2101148E-001, 2.2279039E+002, 2.0953936E+000, 8.8703159E-001, 6.6803781E+001, 2.0871863E+000, 8.8703159E-001, 3.2190660E+001, 3.2060150E+001, 4.3315381E+000, 4.7950679E+001, 1.3150204E+002
 8.3097666E+000, 1.3049882E+000, 7.2101148E-001, 2.2279039E+002, 2.0088034E+000, 8.8703159E-001, 6.6803781E+001, 2.0181126E+000, 8.8703159E-001, 3.2190660E+001, 2.2465568E+001, 4.3315381E+000, 4.7950679E+001, 1.3292739E+002
 8.4062240E+000, 1.2271429E+000, 7.2101148E-001, 2.2279039E+002, 1.8754354E+000, 8.8703159E-001, 6.6803781E+001, 1.8694422E+000, 8.8703159E-001, 3.2190660E+001, 1.6027022E+001, 4.3315381E+000, 4.7950679E+001, 1.3411114E+002
 8.5064118E+000, 1.1684807E+000, 7.2101148E-001, 2.2279039E+002, 1.7986139E+000, 8.8703159E-001, 6.6803781E+001, 1.8243948E+000, 8.8703159E-001, 3.2190660E+001, 1.5248019E+001, 4.3315381E+000, 4.7950679E+001, 1.3518939E+002
 8.6090662E+000, 1.0974651E+000, 7.2101148E-001, 2.2279039E+002, 1.6602615E+000, 8.8703159E-001, 6.6803781E+001, 1.6784256E+000, 8.8703159E-001, 3.2190660E+001, 1.1439551E+001, 4.3315381E+000, 4.7950679E+001, 1.3651241E+002
 8.7083364E+000, 1.0403628E+000, 7.2101148E-001, 2.2279039E+002, 1.5821665E+000, 8.8703159E-001, 6.6803781E+001, 1.5962140E+000, 8.8703159E-001, 3.2190660E+001, 3.4471234E+000, 4.3315381E+000, 4.7950679E+001, 1.3810568E+002
 8.8076065E+000, 1.0040266E+000, 7.2101148E-001, 2.2279039E+002, 1.4928372E+000, 8.8703159E-001, 6.6803781E+001, 1.5113211E+000, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 4.3315381E+000, 4.7950679E+001, 1.3956979E+002
 8.9118402E+000, 9.6375831E-001, 7.2101148E-001, 2.2279039E+002, 1.4329899E+000, 8.8703159E-001, 6.6803781E+001, 1.4219356E+000, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 4.3315381E+000, 4.7950679E+001, 1.4086211E+002
 9.0073877E+000, 9.2553316E-001, 7.2101148E-001, 2.2279039E+002, 1.3651618E+000, 8.8703159E-001, 6.6803781E+001, 1.3544632E+000, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 4.3315381E+000, 4.7950679E+001, 1.4211515E+002
 9.1029352E+000, 8.9983802E-001, 7.2101148E-001, 2.2279039E+002, 1.3238075E+000, 8.8703159E-001, 6.6803781E+001, 1.3206389E+000, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 4.3315381E+000, 4.7950679E+001, 1.4327438E+002
 9.2121324E+000, 8.5873744E-001, 7.2101148E-001, 2.2279039E+002, 1.2722184E+000, 8.8703159E-001, 6.6803781E+001, 1.2612983E+000, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 4.3315381E+000, 4.7950679E+001, 1.4454276E+002
 9.3076799E+000, 8.2256309E-001, 7.2101148E-001, 2.2279039E+002, 1.2345722E+000, 8.8703159E-001, 6.6803781E+001, 1.2158431E+000, 8.8703159E-001, 3.2190660E+001, 0.0000000E+000, 4.3315381E+000, 4.7950679E+001, 1.4583668E+002
