s,kW,kW
Time,qdot1,qdot2
 2.9600055E+002, 1.4812578E+000, 1.0903131E+001
 2.9726282E+002, 1.4813265E+000, 1.0902823E+001
 2.9820951E+002, 1.4813951E+000, 1.0902601E+001
 2.9915621E+002, 1.4814540E+000, 1.0902155E+001
 3.0010291E+002, 1.4815127E+000, 1.0900997E+001
 3.0104960E+002, 1.4815711E+000, 1.0899069E+001
 3.0231187E+002, 1.4816391E+000, 1.0896773E+001
 3.0325856E+002, 1.4817063E+000, 1.0895340E+001
 3.0420526E+002, 1.4817627E+000, 1.0894912E+001
 3.0515196E+002, 1.4818182E+000, 1.0894831E+001
 3.0609865E+002, 1.4818735E+000, 1.0894748E+001
 3.0704535E+002, 1.4819288E+000, 1.0894368E+001
 3.0830761E+002, 1.4819920E+000, 1.0893428E+001
 3.0925431E+002, 1.4820526E+000, 1.0892285E+001
 3.1020101E+002, 1.4821022E+000, 1.0891765E+001
 3.1114770E+002, 1.4821498E+000, 1.0892468E+001
 3.1209440E+002, 1.4821963E+000, 1.0894456E+001
 3.1304110E+002, 1.4822418E+000, 1.0896959E+001
 3.1430336E+002, 1.4822921E+000, 1.0899224E+001
 3.1525006E+002, 1.4823389E+000, 1.0900099E+001
 3.1619675E+002, 1.4823759E+000, 1.0899767E+001
 3.1714345E+002, 1.4824101E+000, 1.0899022E+001
 3.1809015E+002, 1.4824416E+000, 1.0898430E+001
 3.1903684E+002, 1.4824701E+000, 1.0898081E+001
 3.2029911E+002, 1.4825005E+000, 1.0897765E+001
 3.2124580E+002, 1.4825277E+000, 1.0897181E+001
 3.2219250E+002, 1.4825482E+000, 1.0896385E+001
 3.2313920E+002, 1.4825654E+000, 1.0895664E+001
 3.2408589E+002, 1.4825791E+000, 1.0895195E+001
 3.2503259E+002, 1.4825894E+000, 1.0894825E+001
 3.2629485E+002, 1.4825983E+000, 1.0893978E+001
 3.2724155E+002, 1.4826048E+000, 1.0892641E+001
 3.2818825E+002, 1.4826081E+000, 1.0891758E+001
 3.2913494E+002, 1.4826084E+000, 1.0891747E+001
 3.3008164E+002, 1.4826050E+000, 1.0892567E+001
 3.3102834E+002, 1.4825987E+000, 1.0893792E+001
 3.3229060E+002, 1.4825902E+000, 1.0895418E+001
 3.3323730E+002, 1.4825842E+000, 1.0897108E+001
 3.3418399E+002, 1.4825771E+000, 1.0898472E+001
 3.3513069E+002, 1.4825666E+000, 1.0899623E+001
 3.3607739E+002, 1.4825525E+000, 1.0900349E+001
 3.3702408E+002, 1.4825355E+000, 1.0900637E+001
 3.3828635E+002, 1.4825131E+000, 1.0900876E+001
 3.3923304E+002, 1.4824883E+000, 1.0901247E+001
 3.4017974E+002, 1.4824653E+000, 1.0901263E+001
