s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 2.420E+03, 1.991E+02,-5.776E+01,-1.095E+02,-3.299E+01, 7.684E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.977E-01, 3.999E-03, 3.999E-03
 2.450E+03, 2.013E+02,-5.815E+01,-1.109E+02,-3.340E+01, 7.633E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.330E-01, 3.999E-03, 3.999E-03
 2.480E+03, 1.995E+02,-5.708E+01,-1.113E+02,-3.231E+01, 7.729E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.827E-01, 3.999E-03, 3.999E-03
 2.510E+03, 1.989E+02,-5.723E+01,-1.099E+02,-3.298E+01, 7.585E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.493E-01, 3.999E-03, 3.999E-03
 2.540E+03, 2.015E+02,-5.784E+01,-1.123E+02,-3.249E+01, 7.572E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.325E-01, 3.999E-03, 3.999E-03
 2.570E+03, 2.000E+02,-5.747E+01,-1.111E+02,-3.272E+01, 7.691E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.883E-01, 3.999E-03, 3.999E-03
 2.600E+03, 2.008E+02,-5.773E+01,-1.119E+02,-3.235E+01, 7.538E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-3.650E-01, 3.999E-03, 3.999E-03
 2.630E+03, 1.980E+02,-5.642E+01,-1.108E+02,-3.200E+01, 7.629E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.600E-01, 3.999E-03, 3.999E-03
 2.660E+03, 2.003E+02,-5.769E+01,-1.113E+02,-3.253E+01, 7.437E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.459E-01, 3.999E-03, 3.999E-03
 2.690E+03, 2.005E+02,-5.774E+01,-1.116E+02,-3.237E+01, 7.591E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.446E-01, 3.999E-03, 3.999E-03
 2.720E+03, 2.000E+02,-5.671E+01,-1.132E+02,-3.130E+01, 7.584E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.404E-01, 3.999E-03, 3.999E-03
 2.750E+03, 2.003E+02,-5.720E+01,-1.126E+02,-3.179E+01, 7.712E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.695E-01, 3.999E-03, 3.999E-03
 2.780E+03, 2.002E+02,-5.745E+01,-1.119E+02,-3.199E+01, 7.610E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.575E-01, 3.999E-03, 3.999E-03
 2.810E+03, 1.993E+02,-5.704E+01,-1.125E+02,-3.107E+01, 7.565E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.893E-01, 3.999E-03, 3.999E-03
 2.840E+03, 1.999E+02,-5.649E+01,-1.134E+02,-3.122E+01, 7.641E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.188E-01, 3.999E-03, 3.999E-03
 2.870E+03, 2.006E+02,-5.692E+01,-1.138E+02,-3.111E+01, 7.655E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.651E-01, 3.999E-03, 3.999E-03
 2.900E+03, 2.002E+02,-5.741E+01,-1.121E+02,-3.193E+01, 7.619E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.189E-01, 3.999E-03, 3.999E-03
 2.930E+03, 2.005E+02,-5.726E+01,-1.133E+02,-3.114E+01, 7.705E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.557E-01, 3.999E-03, 3.999E-03
 2.960E+03, 1.985E+02,-5.615E+01,-1.128E+02,-3.078E+01, 7.652E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.578E-01, 3.999E-03, 3.999E-03
 2.990E+03, 2.004E+02,-5.669E+01,-1.139E+02,-3.100E+01, 7.749E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.351E-01, 3.999E-03, 3.999E-03
 3.020E+03, 2.009E+02,-5.741E+01,-1.132E+02,-3.149E+01, 7.581E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.585E-01, 3.999E-03, 3.999E-03
 3.050E+03, 1.997E+02,-5.659E+01,-1.136E+02,-3.082E+01, 7.653E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.690E-01, 3.999E-03, 3.999E-03
 3.080E+03, 2.006E+02,-5.630E+01,-1.157E+02,-2.981E+01, 7.736E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.541E-01, 3.999E-03, 3.999E-03
 3.110E+03, 1.998E+02,-5.663E+01,-1.142E+02,-3.014E+01, 7.650E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.214E-01, 3.999E-03, 3.999E-03
 3.140E+03, 1.989E+02,-5.615E+01,-1.134E+02,-3.054E+01, 7.649E-01, 0.000E+00, 0.000E+00, 0.000E+00, 2.757E-29,-4.797E-01, 3.999E-03, 3.999E-03
 3.170E+03, 2.004E+02,-5.647E+01,-1.148E+02,-3.034E+01, 7.634E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.818E-01, 3.999E-03, 3.999E-03
 3.200E+03, 2.005E+02,-5.694E+01,-1.141E+02,-3.071E+01, 7.545E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.608E-01, 3.999E-03, 3.999E-03
 3.230E+03, 2.008E+02,-5.674E+01,-1.147E+02,-3.052E+01, 7.630E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.170E-01, 3.999E-03, 3.999E-03
 3.260E+03, 1.990E+02,-5.628E+01,-1.135E+02,-3.047E+01, 7.662E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.946E-01, 3.999E-03, 3.999E-03
 3.290E+03, 1.991E+02,-5.633E+01,-1.136E+02,-3.040E+01, 7.595E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.379E-01, 3.999E-03, 3.999E-03
 3.320E+03, 2.016E+02,-5.696E+01,-1.158E+02,-3.003E+01, 7.649E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.635E-01, 3.999E-03, 3.999E-03
 3.350E+03, 1.998E+02,-5.613E+01,-1.149E+02,-2.996E+01, 7.541E-01, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-4.633E-01, 3.999E-03, 3.999E-03
