m,Pa
p-x,p
 5.5131125E+002, 1.8975987E+001
 5.5231000E+002, 1.8959320E+001
 5.5330875E+002, 1.8959320E+001
 5.5430750E+002, 1.8942604E+001
 5.5530625E+002, 1.8942604E+001
 5.5630500E+002, 1.8925948E+001
 5.5730375E+002, 1.8925948E+001
 5.5830250E+002, 1.8909433E+001
 5.5930125E+002, 1.8909433E+001
 5.6030000E+002, 1.8893138E+001
 5.6129875E+002, 1.8893138E+001
 5.6229750E+002, 1.8876630E+001
 5.6329625E+002, 1.8876630E+001
 5.6429500E+002, 1.8859932E+001
 5.6529375E+002, 1.8859932E+001
 5.6629250E+002, 1.8842964E+001
 5.6729125E+002, 1.8842964E+001
 5.6829000E+002, 1.8825677E+001
 5.6928875E+002, 1.8825677E+001
 5.7028750E+002, 1.8808295E+001
 5.7128625E+002, 1.8808295E+001
 5.7228500E+002, 1.8790903E+001
 5.7328375E+002, 1.8790903E+001
 5.7428250E+002, 1.8773265E+001
 5.7528125E+002, 1.8773265E+001
 5.7628000E+002, 1.8755798E+001
 5.7727875E+002, 1.8755798E+001
 5.7827750E+002, 1.8738289E+001
 5.7927625E+002, 1.8738289E+001
 5.8027500E+002, 1.8720737E+001
 5.8127375E+002, 1.8720737E+001
 5.8227250E+002, 1.8703652E+001
 5.8327125E+002, 1.8703652E+001
 5.8427000E+002, 1.8686873E+001
 5.8526875E+002, 1.8686873E+001
 5.8626750E+002, 1.8669353E+001
 5.8726625E+002, 1.8669353E+001
 5.8826500E+002, 1.8651704E+001
 5.8926375E+002, 1.8651704E+001
 5.9026250E+002, 1.8634719E+001
 5.9126125E+002, 1.8634719E+001
 5.9226000E+002, 1.8617535E+001
 5.9325875E+002, 1.8617535E+001
 5.9425750E+002, 1.8600414E+001
 5.9525625E+002, 1.8600414E+001
 5.9625500E+002, 1.8583796E+001
 5.9725375E+002, 1.8583796E+001
 5.9825250E+002, 1.8567051E+001
 5.9925125E+002, 1.8567051E+001
 6.0025000E+002, 1.8549010E+001
 6.0124875E+002, 1.8549010E+001
 6.0224750E+002, 1.8532234E+001
 6.0324625E+002, 1.8532234E+001
 6.0424500E+002, 1.8515158E+001
 6.0524375E+002, 1.8515158E+001
 6.0624250E+002, 1.8497899E+001
 6.0724125E+002, 1.8497899E+001
 6.0824000E+002, 1.8481163E+001
 6.0923875E+002, 1.8481163E+001
 6.1023750E+002, 1.8464172E+001
 6.1123625E+002, 1.8464172E+001
 6.1223500E+002, 1.8446984E+001
 6.1323375E+002, 1.8446984E+001
 6.1423250E+002, 1.8429633E+001
 6.1523125E+002, 1.8429633E+001
