s,kg/s,kW/m2,kW/m2,kW/m2,kW/m2,mol/mol,mol/mol,kW/m2,kW/m2,kW/m2,kW/m2
Time,"MLRPUA","C 1","C 2","R 1","R 2","G 1","G 2","R 1.1","R 1.2","R 1.3","R 1.4"
 9.6002216E+001, 4.9742711E-002, 3.4929348E-001, 3.4124184E-001, 3.4062133E+001, 3.1976158E+001, 7.2938175E-001, 7.1018729E-001, 3.8936907E+001, 4.9677772E+001, 6.0000193E+001, 6.9602424E+001
 9.7000424E+001, 5.0209431E-002, 4.9635360E-001, 4.0979876E-001, 3.6101167E+001, 3.2740208E+001, 6.5645997E-001, 6.9960765E-001, 4.1313667E+001, 5.2836997E+001, 6.4185407E+001, 7.4569601E+001
 9.8000913E+001, 5.0871248E-002, 2.6061891E-001, 2.5839207E-001, 3.4345720E+001, 3.0925686E+001, 7.5814613E-001, 7.6264981E-001, 3.9347803E+001, 5.0680351E+001, 6.2166813E+001, 7.2569311E+001
 9.9000532E+001, 5.1646017E-002, 4.2793102E-001, 3.1095796E-001, 3.6929791E+001, 3.2599521E+001, 6.8286926E-001, 7.1889652E-001, 4.2397185E+001, 5.5099182E+001, 7.0383771E+001, 7.9391658E+001
 1.0000081E+002, 5.2126583E-002, 3.1228358E-001, 2.9011204E-001, 3.7192565E+001, 3.4083049E+001, 7.3236803E-001, 7.3532825E-001, 4.2562078E+001, 5.4621586E+001, 6.6983813E+001, 7.8582145E+001
 1.0100018E+002, 5.2360724E-002, 3.8204683E-001, 3.5938803E-001, 3.6607640E+001, 3.4363635E+001, 7.1191251E-001, 7.0560484E-001, 4.2050448E+001, 5.4331724E+001, 6.8655228E+001, 7.8329955E+001
 1.0200048E+002, 5.4804608E-002, 3.2457432E-001, 3.4160709E-001, 3.9190989E+001, 3.6146080E+001, 7.5023361E-001, 7.0806290E-001, 4.5130987E+001, 6.0183195E+001, 7.9360131E+001, 7.9388723E+001
 1.0300215E+002, 5.4186635E-002, 3.2458515E-001, 3.6411139E-001, 3.7883383E+001, 3.3949208E+001, 7.4395669E-001, 7.2214307E-001, 4.3625703E+001, 5.7276435E+001, 7.3552438E+001, 8.3420489E+001
 1.0400031E+002, 5.5442493E-002, 3.8508908E-001, 5.3479693E-001, 3.9724703E+001, 3.6543051E+001, 7.1187140E-001, 6.5104501E-001, 4.5544140E+001, 5.9951255E+001, 7.8524088E+001, 9.0308115E+001
 1.0500212E+002, 5.3901491E-002, 5.5667061E-001, 2.7548867E-001, 3.4125918E+001, 3.3347473E+001, 6.2808497E-001, 7.4820619E-001, 3.8962839E+001, 4.9809259E+001, 6.2344210E+001, 7.2885165E+001
 1.0600137E+002, 5.1077212E-002, 3.2924504E-001, 3.9331573E-001, 3.0535283E+001, 3.1656096E+001, 7.1084970E-001, 7.0539761E-001, 3.4619520E+001, 4.3698366E+001, 5.3045529E+001, 6.5015108E+001
 1.0700186E+002, 5.3398213E-002, 4.5760820E-001, 2.0390990E-001, 3.5106207E+001, 3.3079796E+001, 6.5973723E-001, 7.3482746E-001, 3.9945818E+001, 5.0035484E+001, 6.0333779E+001, 7.0284919E+001
